"Equipos de F1","2015","2016","2017","2018","2019"
"Mercedes","527.6","352.0","352.1","400.0","484.0"
"Ferrari","474.7","483.3","295.3","410.0","463.0"
"Red Bull","532.5","286.2","284.0","310.0","445.0"
"McLaren","528.3","246.4","240.8","220.0","269.0"
"Alpine (Renault)","149.8","199.8","195.4","190.0","272.0"
"Aston Martin","147.3","119.2","117.0","120.0","188.0"
"AlphaTauri","156.1","132.8","130.6","150.0","138.0"
"Alfa Romeo","117.2","126.0","123.8","135.0","132.0"
"Williams","217.7","139.6","136.3","150.0","141.0"
"Haas","X","X","130.6","130.0","173.0"
