"Temporada","Total Carreras","Pilotos Ganadores Distintos","Constructores Ganadores Distintos","Campeon Mundial - Piloto","Escuderia Piloto Campeon","Victorias Campeon - Piloto","Porcentaje Victorias Campeon - Piloto","Porcentaje Victorias Resto - Pilotos","Campeon Mundial - Constructor","Victorias Campeon - Constructor","Porcentaje Victorias Campeon - Constructor","Porcentaje Victorias Resto - Constructores"
"2000","17","4","2","Michael Schumacher","Ferrari","9","52.94%","47.06%","Ferrari","10","58.82%","41.18%"
"2001","17","5","3","Michael Schumacher","Ferrari","9","52.94%","47.06%","Ferrari","9","52.94%","47.06%"
"2002","17","4","3","Michael Schumacher","Ferrari","11","64.71%","35.29%","Ferrari","15","88.24%","11.76%"
"2003","16","8","5","Michael Schumacher","Ferrari","6","37.50%","62.50%","Ferrari","8","50.00%","50.00%"
"2004","18","5","4","Michael Schumacher","Ferrari","13","72.22%","27.78%","Ferrari","15","83.33%","16.67%"
"2005","19","5","3","Fernando Alonso","Renault","7","36.84%","63.16%","Renault","8","42.11%","57.89%"
"2006","18","5","3","Fernando Alonso","Renault","7","38.89%","61.11%","Renault","8","44.44%","55.56%"
"2007","17","4","2","Kimi Räikkönen","Ferrari","6","35.29%","64.71%","Ferrari","9","52.94%","47.06%"
"2008","18","7","5","Lewis Hamilton","McLaren Mercedes","5","27.78%","72.22%","Ferrari","8","44.44%","55.56%"
"2009","17","6","4","Jenson Button","Brawn Mercedes","6","35.29%","64.71%","Brawn Mercedes","8","47.06%","52.94%"
"2010","19","5","3","Sebastian Vettel","Red Bull Racing Renault","5","26.32%","73.68%","Red Bull Racing Renault","9","47.37%","52.63%"
"2011","19","5","3","Sebastian Vettel","Red Bull Racing Renault","11","57.89%","42.11%","Red Bull Racing Renault","12","63.16%","36.84%"
"2012","20","8","6","Sebastian Vettel","Red Bull Racing Renault","5","25.00%","75.00%","Red Bull Racing Renault","7","35.00%","65.00%"
"2013","19","5","4","Sebastian Vettel","Red Bull Racing Renault","13","68.42%","31.58%","Red Bull Racing Renault","13","68.42%","31.58%"
"2014","19","3","2","Lewis Hamilton","Mercedes","11","57.89%","42.11%","Mercedes","16","84.21%","15.79%"
"2015","19","3","2","Lewis Hamilton","Mercedes","10","52.63%","47.37%","Mercedes","16","84.21%","15.79%"
"2016","21","4","2","Nico Rosberg","Mercedes","9","42.86%","57.14%","Mercedes","19","90.48%","9.52%"
"2017","20","5","3","Lewis Hamilton","Mercedes","9","45.00%","55.00%","Mercedes","12","60.00%","40.00%"
"2018","21","5","3","Lewis Hamilton","Mercedes","11","52.38%","47.62%","Mercedes","11","52.38%","47.62%"
"2019","21","5","3","Lewis Hamilton","Mercedes","11","52.38%","47.62%","Mercedes","15","71.43%","28.57%"
"2020","17","5","4","Lewis Hamilton","Mercedes","11","64.71%","35.29%","Mercedes","13","76.47%","23.53%"
"2021","22","6","4","Max Verstappen","Red Bull Racing Honda","10","45.45%","54.55%","Mercedes","9","40.91%","59.09%"
"2022","22","5","3","Max Verstappen","Red Bull Racing RBPT","15","68.18%","31.82%","Red Bull Racing RBPT","17","77.27%","22.73%"
"2023","22","3","2","Max Verstappen","Red Bull Racing Honda RBPT","19","86.36%","13.64%","Red Bull Racing Honda RBPT","21","95.45%","4.55%"
"2024","24","7","4","Max Verstappen","Red Bull Racing Honda RBPT","9","37.50%","62.50%","McLaren Mercedes","6","25.00%","75.00%"
"2025","24","4","3","Lando Norris","McLaren","7","29.17%","70.83%","McLaren","14","58.33%","41.67%"
