Año,Piloto ganador,Equipo ganador,Puntaje,Posición 2 y puntaje,Posición 3 y puntaje,Posición 4 y puntaje,Posición 5 y puntaje,Posición 6 y puntaje,Posición 7 y puntaje,Posición 8 y puntaje,Posición 9 y puntaje,Posición 10 y puntaje,Posición 11 y puntaje,Posición 12 y puntaje,Posición 13 y puntaje,Posición 14 y puntaje,Posición 15 y puntaje,Posición 16 y puntaje,Posición 17 y puntaje,Posición 18 y puntaje,Posición 19 y puntaje,Posición 20 y puntaje,Posición 21 y puntaje,Posición 22 y puntaje,Posición 23 y puntaje
2000,Michael Schumacher,Ferrari,108.0,Mercedes- 89,Mercedes- 73,Ferrari- 62,BMW- 24,Benetton- 18,Honda- 17,BMW- 12,Jordan Honda- 11,Jordan Honda- 6,Petronas- 6,Supertec- 5,Cosworth- 4,Honda- 3,Benetton- 2,Supertec- 2,Petronas- 0,Cosworth- 0,Minard- 0,Minardi- 0,Peugeot- 0,Peugeot- 0,Peugeot - 0
2001,Michael Schumacher,Ferrari,123.0,Mercedes- 65,Ferrari- 56,BMW- 49,Mercedes- 37,BMW- 31,Honda- 12,Petronas- 12,Honda- 12,Petronas- 12,Honda- 12 ,Petronas- 9,Renault- 8,Cosworth- 6,Acer- 6,Honda- 5,Honda- 5,Cosworth- 3,Renault- 2,Arrows- 1,,,
2002,Michael Schumacher,Ferrari,144.0,Ferrari- 77,BMW- 50,BMW- 42,Mercedes- 41,Mercedes- 24,Renault- 14,Renault- 9,Cosworth- 8,Petronas- 7,Honda- 7,Honda- 4,Petronas- 4,Honda- 3,Honda- 2,Asiatech- 2,Toyota- 2,Asiatech- 0,Cosworth- 0,Cosworth- 0,,,
2003,Michael Schumacher,Ferrari,93.0,Mercedes- 91,MBW- 82,Ferrari- 65,BMW- 58,Renault- 55,Mercedes- 51,Renault- 33,Honda- 17,Cosworth- 17,Petronas- 13,Ford- 12,Toyota- 10,Petronas- 6,Toyota- 6,Honda- 6,BMW- 4,Honda- 3,Ford- 1,Cosworth- 1,Cosworth- 0,Cosworth- 0,Cosworth- 0
2004,Michael Schumacher,Ferrari,148.0,Ferrari- 114,Honda- 85,Renault- 59,BMW- 58,Toyota- 46 ,Mercedes- 45,Honda- 34,BMW- 24,Mercedes- 24,Petronas- 22,Petronas- 12,Cosworth- 7,Toyota- 6,BMW- 6,Cosworth- 3,Toyota- 3,Ford- 3,Ford- 2,Cosworth- 1,Renault- 0,Toyota- 0,BMW- 0 
2005,Fernando Alonso,Renault,133.0,Mercedes- 112,Ferrari- 62,Mercedes- 60,Renault- 58,Toyota- 45,Toyota- 43,Ferrari- 38,Honda- 37,BMW- 36,BMW- 28,Cosworth- 24,Petronas- 11,Petronas- 9,Cosworth- 9,Toyota- 7,Mercedes- 6,Toyota- 5,Cosworth- 4,Mercdes- 4,Cosworth- 3,BMW- 2,Honda- 1
2006,Fernando Alonso,Renault,134.0,Ferrari- 121,Ferrari- 80,Renault- 72,Mercedes- 65,Honda- 56,Honda- 30,Mercedes- 26,BMW- 23,Toyota- 20,Mercedes- 19,Toyota- 15,Ferrari- 14,Cosworth- 7,BMW- 7,BMW- 6,Cosworth- 4,Ferrari- 2,Cosworth- 1,Cosworth- 0,Toyota- 0,Toyota- 0,Honda- 0
2007,Kimi Räikkönen,Ferrari,110.0,Mercedes- 109,Mercedes- 109,Ferrari- 94,BMW- 61,BMW- 39,Renault- 30,Renault- 21,Toyota- 20,Redbull Renault- 14,Toyota- 13,Redbull Renault- 10,Toyota- 8,Ferrari- 6,Honda- 6,Toyota- 5,Super Aguri Honda- 4,Ferrari- 3,Ferrari- 1,Honda- 0,STR Ferrari- 0,Williams Toyota- 0,Super Aguri Toyota- 0
2008,Lewis Hamilton,McLaren,98.0,Ferrari- 97,Ferrari- 75,Sauber BMW- 75,Renault- 61,Sauber BMW- 60,McLaren Mercedes- 53,STR Ferrari- 35,Toyota- 31,Toyota- 25,RedBull Renault- 21,Renault- 19,Williams Toyota- 17,Honda- 11,Williams Toyota- 9,RedBull Renault- 8,STR Ferrari- 4,Honda- 3,Force India Ferrari- 0,Force India Ferrari- 0,Super Aguri Honda- 0,,
2009,Jenson Button,Brawn,95.0,RBR Renault- 84,Brawn Mercedes- 77,RBR Renault- 69.5,McLaren Mercedes- 49,Ferrari- 48,Williams Toyota- 34.5,Toyota- 32.5,Renault- 26,Toyota- 24,Ferrari- 22,McLaren Mercedes- 22,Sauber BMW- 19,Sauber BMW- 17,Ferrari- 8,STR Ferrari- 6,Force India Mercedes- 5,Toyota- 3,STR Ferrari- 2,Williams Toyota- 0,Renault- 0,Force India Mercedes- 0,Renault- 0
2010,Sebastian Vettel,RedBull,256.0,Ferrari- 252,RBR Renault- 242,McLaren Mercedes- 240,McLaren Mercedes- 214,Ferrari- 144,Mercedes- 142,Renault- 136,Mercedes- 72,William Cosworth- 47,Force India Mercedes- 47,Sauber Ferrari- 32,Renault- 27,Williams Cosworth- 22,fForce India Mercedes- 21,STR Ferrari- 8,Sauber Ferrari- 6,Sauber Ferrari- 6,STR Ferrari- 5,Lotus Cosworth- 0,Lotus Cosworth- 0,HTR Cosworth- 0,HTR Cosworth- 0
2011,Sebastian Vettel,RedBull,392.0,McLaren Mercedes- 270,RedBull Racing Renault- 258,Ferrari- 257,McLaren Mercedes- 227,Ferrari- 118,Mercedes- 89,Mercedes- 76,Force India Mercedes- 42,Renault- 37,Renualt- 34,Sauber Ferrari- 30,Force India Mercedes- 27,STR Ferari- 26,STR Ferrari- 15,Sauber Ferrari- 14,Williams Cosworth- 4,Renault- 2,William Cosworth- 1,Sauber Ferrari- 0,Lotus Renault- 0,Lotus Renault- 0,HTR Cosworth- 0
2012,Sebastian Vettel,RedBull,281.0,Ferrari- 278,Lotus Renualt- 207,McLaren Mercedes- 190,Mc Laren Mercedes- 188,RedBull Racing Renault- 179,Ferrari- 122,Lotus Renault- 96,Mercedes- 93,Sauber Ferrari- 66,Force India Mercedes- 63,Sauber Ferrari- 60,Mercedes- 49,Force India Mercedes- 46,Williams Renault- 45,Williams Renault- 31,STR Ferrari- 16,sSTR Ferrari- 10,Caterham Renault- 0,Marussia Cosworth- 0,Marussia Cosworth- 0,Caterham Renault- 0,Lotus Renault- 0
2013,Sebastian Vettel,RedBull,397.0,Ferrari- 242,RebBull Racing Renault- 199,Mercedes- 189,Lotus Renault- 183,Mercedes- 171,Lotus Renault- 132,Ferrari- 112,McLaren Mercedes- 73,Sauber Ferrari- 51,McLaren Mercedes- 49,Force India Mercedes- 48 ,Force India Mercedes- 29,STR Ferrari- 20,STR Ferrari- 13,Sauber Ferrari- 6,Williams Renault- 4,Williams Renault- 1,Marussia Cosworth- 0,Caterham Renault- 0,Lotus Renault- 0,Caterham Renault- 0,Marussia Cosworth- 0
2014,Lewis Hamilton,Mercedes,384.0,Mercedes- 317,RedBull Racing Renault- 238,Wiilliams Mercedes- 186,RedBull Racing Renault- 167,Ferrari- 161,Williams Mercedes- 134,McLaren Mercedes- 126,Force India Mercedes- 96,Force India Mercedes- 59,McLaren Mercedes- 55,Ferrari- 55,STR Renault- 22,Lotus Renault- 8,STR Renault- 8,Lotus Renault- 2,Marussia Ferari- 2,Sauber Ferrari- 0,Marussia Ferrari- 0,Caterham Renault- 0,Caterham Renault- 0,,
2015,Lewis Hamilton,Mercedes,381.0,Mercedes- 322,Ferrari- 278,Ferrari- 150,Williams Mercedes- 136,Williams Mercedes- 121,RedBull Racing Renault- 95,RedBull Racing Renault- 92,Force India Mercedes- 78,Force India Mercedes- 58,Lotus Mercedes- 51,STR Renault- 49,Sauber Ferrari- 27,Lotus Mercedes- 27 ,STR Renault- 18,McLaren Honda- 11,Sauber Ferari- 9,Marussia Ferrari- 0,Marussia Ferrari- 0,Marussia Cosworth- 0,,,
2016,Nico Rosberg,Mercedes,385.0,Mercedes- 380,RedBull Racing TAG Heuer- 256,Ferrari- 212,RedBull Racing TAG Heuer- 204,Ferrari- 186,Force India Mercedes- 101,Williams Mercedes- 85,Force India Mercedes- 72,McLaren Honda- 54,Williams Mercedes- 53,Toro Rosso Ferrari- 46,Haas Ferrari- 29,Toro Rosso Ferrari- 25,McLaren Honda- 21,Renault- 7,Sauber Ferrari- 2,Renault- 1,MRT Mercedes- 1,McLaren Honda- 1,Hass Ferrari- 0,Sauber Ferrari- 0,MRT Mercedes- 0
2017,Lewis Hamilton,Mercedes,363.0,Ferrari- 317,Mercedes- 305,Ferrari- 205,RedBull Racing TAG Heuer- 200,RedBull Racing TAG Heuer- 168,Force India Mercedes- 100,Force India Mercedes- 87,Renault- 54,Renault- 43,Williams Mercedes- 43,Williams Mercedes- 40,Haas Ferrari- 28,Haas Ferrari- 19,McLaren Honda- 17,McLaren Honda- 13,Renault- 8,Sauber Ferrari- 5,Toro Rosso- 5,Sauber Ferrari- 0,Toro Rosso- 0,Sauber Ferrari- 0,Toro Rosso- 0
2018,Lewis Hamilton,Mercedes,408.0,Ferrari- 320,Ferrari- 251,RedBull Racing TAG Heuer- 249,Mercedes- 247,RedBull Racing TAG Heuer- 170,Renault- 69,Force India Mercedes- 62,Haas Ferrari- 56,Renault- 53,McLaren Renault- 50,Force India Mercedes- 49,Sauber Ferrari- 39,Haas Ferrari- 37,Scuderia Toro Rosso Honda- 29,McLaren Renault- 12,Sauber Ferrari- 9,Williams Mercedes- 6,Scuderia Toro Rosso Honda- 4,Williams Mercedes- 1,,,
2019,Lewis Hamilton,Mercedes,413.0,Mercedes- 326,RebBull Racing Honda- 278,Ferrari- 264,Ferrari- 240,McLaren Renault- 96,Scuderia Toro Rosso Honda- 95,RedBull Racing Honda- 92,Racing Point BWT Mercedes- 52,McLaren Renault- 49,Alfa Romeo Racing Ferrari- 43,Scuderia Toro Rosso Honda- 37,Renault- 37,Racing Point BWT Mercedes- 21,Haas Ferrari- 20,Alfa Romeo Racing Ferrari- 14,Haas Ferrari- 8,Williams Mercedes- 1,Williams Mercedes- 0,,,,
2020,Lewis Hamilton,Mercedes,347.0,Mercedes- 223,RedBull Racing Honda- 214,Racing Point BWT Mercedes- 125,Renault- 119,McLaren Renault- 105,RedBull Racing Honda- 105,Ferrari- 98,McLaren Renault- 97,AlphaTauri Honda- 75,Racing Point BWT Mercedes- 75,Renault- 62,Ferrari- 33,AlphaTauri Honda- 32,RacingPoint BWT Mercedes- 10,Alfa Romeo Racing Ferrari- 4,Alfa Romeo Racing Ferrari- 4,William Mercedes-3,Haas Ferrari- 2,Haas Ferrari- 1,Williams Mercedes- 0,Williams Mercedes- 0 ,Haas Ferrari- 0
2021,Max Verstappen,RedBull,395.5,Mercedes 387.5,Mercedes 226,RedBull Racing Honda- 190,Ferrari- 164.5,McLaren Mercedes 160,Ferrari 159,McLaren Mercedes 115,AlphaTauri Honda 110,Alpine Renault 81,Alpine Renualt 74,Aston Martin Mercedes 43,Aston Martin Mercedes 34,AlphaTauri Honda- 32,Williams Mercedes- 16,Alfa Romeo Racing Ferrari- 10,Williams Mercedes- 7,Alfa Romeo Racing Ferrari- 3,Haas Ferrari- 0,Alfa Romeo Racing Ferrari- 0,Haas Ferrari- 0,,
2022,Max Verstappen,RedBull,454.0,Ferrari- 308,RedBull Racing RBPT 305,Mercedes 275,Ferrari 246,Mercedes 240,McLaren Mercedes- 122,Alpine Renault- 92,Alpine Renault- 81,Alfa Romeo Ferrari- 49,McLaren Mercedes- 37,Aston Martin Aramco Mercedes 37,Haas Ferrari- 25,AlphaTauri RBPT- 23,Aston Martin Aramco Mercedes- 18,Haas Ferrari- 12,AlphaTauri RBPT- 12,Alfa Romeo Ferrari- 6,Williams Mercedes- 4,Williams Mercedes- 2,Williams Mercedes- 2,Aston Martin Aramco Mercedes- 0,
2023,Max Verstappen,RedBull,575.0,RedBull Racing Honda RBPT- 285,Mercedes- 234,Aston Martin Aramco Mercedes- 206,Ferrari- 206,McLaren Mercedes 205,Ferrari 200,Mercedes 175,McLaren Mercedes 97,Aston Martin Aramco Mercedes- 74,Alpine Renault 62,Alpine Renault 58,Wiliams Mercedes- 27,AlphaTauri Honda RBPT- 17,Alfa Romeo Ferrari- 10,Haas Ferrari- 9,AlphaTauri Honda RBPT- 6,Alfa Romeo Ferrari- 6,Hass Ferrari- 3,AlphaTauri Honda RBPT - 2,Williams Mercedes- 1,AlphaTauri Honda RBPT- 0,
2024,Max Verstappen,RedBull,437.0,McLaren Mercedes- 374,Ferrari- 356,McLaren Mercedes- 374,Ferrari- 356,McLaren Mercedes- 292,Ferrari- 290,Mercedes- 245,Mercedes- 223,RedBull Racing Honda RBPT- 152,Aston Martin Aramco Mercedes- 70,Alpine Renault- 42,Haas Ferrari- 41,RB Honda RBPT- 30,Aston Martin Aramco Mercedes- 24,Alpine Renault- 23,Haas Ferrari- 16 ,Williams Mercedes- 12,RB Honda RBPT-12,Haas Ferrari- 7,Williams Mercedes- 5,KickSauber Ferrari- 4,RB Honda RBPT- 4
2025,Lando Norris,McLaren,423.0,RedBull Racing 421,McLaren- 410,Mercedes- 319,Ferrari- 319,Ferrari- 242,Ferrari- 156,Mercedes- 150,Williams- 73,Williams- 64,Aston Martin- 56,Kick Sauber- 51,Racing Bulls- 51,Haas F1 Team- 38,Aston Martin- 33,Alpine- 22,Kick Sauber- 19,Alpine- 0,Alpine- 0,,,,
2026,Kimi Antonelli,Mercedes,292.0,Mercedes- 211,Ferrari- 191,McLaren- 186,Ferrari- 167,RedBull Racing- 145,McLaren- 120,RedBull Racing 71,Racing Bulls- 59,Alpine - 41,Racing Bulls- 31,Alpine- 27,Haas F1 Team- 18,Audi- 10,Audi- 7,Williams- 6,Williams- 5,Haas F1 Team- 3,Aston Martin- 3,Racing Bulls- 1,Aston Martin- 0,Cadillac- 0,Cadillac- 0
