"Año","Piloto","Equipo"
"2000","Michael Schumacher","Ferrari"
"2001","Michael Schumacher","Ferrari"
"2002","Michael Schumacher","Ferrari"
"2003","Michael Schumacher","Ferrari"
"2004","Michael Schumacher","Ferrari"
"2005","Fernando Alonso","Renault"
"2006","Fernando Alonso","Renault"
"2007","Kimi Räikkönen","Ferrari"
"2008","Lewis Hamilton","McLaren"
"2009","Jenson Button","Brawn"
"2010","Sebastian Vettel","RedBull"
"2011","Sebastian Vettel","RedBull"
"2012","Sebastian Vettel","RedBull"
"2013","Sebastian Vettel","RedBull"
"2014","Lewis Hamilton","Mercedes"
"2015","Lewis Hamilton","Mercedes"
"2016","Nico Rosberg","Mercedes"
"2017","Lewis Hamilton","Mercedes"
"2018","Lewis Hamilton","Mercedes"
"2019","Lewis Hamilton","Mercedes"
"2020","Lewis Hamilton","Mercedes"
"2021","Max Verstappen","RedBull"
"2022","Max Verstappen","RedBull"
"2023","Max Verstappen","RedBull"
"2024","Max Verstappen","RedBull"
"2025","Lando Norris","McLaren"
